SiteName,time,"latitude[unit=""degrees_north""]","longitude[unit=""degrees_east""]",deficit_CCSM4_rcp45
bearlake_fromgrid,2020-03-26T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-27T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-28T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-29T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-30T12:00:00Z,38.90637149,-105.2989972,0.1
bearlake_fromgrid,2020-03-31T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-01T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-02T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-03T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-04T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-05T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-06T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-07T12:00:00Z,38.90637149,-105.2989972,0.1
bearlake_fromgrid,2020-04-08T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-09T12:00:00Z,38.90637149,-105.2989972,0.2
bearlake_fromgrid,2020-04-10T12:00:00Z,38.90637149,-105.2989972,0.3
bearlake_fromgrid,2020-04-11T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-12T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-13T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-14T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-15T12:00:00Z,38.90637149,-105.2989972,0.2
bearlake_fromgrid,2020-04-16T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-17T12:00:00Z,38.90637149,-105.2989972,0.4
bearlake_fromgrid,2020-04-18T12:00:00Z,38.90637149,-105.2989972,0.4
bearlake_fromgrid,2020-04-19T12:00:00Z,38.90637149,-105.2989972,0.6
bearlake_fromgrid,2020-04-20T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-04-21T12:00:00Z,38.90637149,-105.2989972,0.4
bearlake_fromgrid,2020-04-22T12:00:00Z,38.90637149,-105.2989972,0.4
bearlake_fromgrid,2020-04-23T12:00:00Z,38.90637149,-105.2989972,0.4
bearlake_fromgrid,2020-04-24T12:00:00Z,38.90637149,-105.2989972,0.8
bearlake_fromgrid,2020-04-25T12:00:00Z,38.90637149,-105.2989972,0.6
bearlake_fromgrid,2020-04-26T12:00:00Z,38.90637149,-105.2989972,0.8
bearlake_fromgrid,2020-04-27T12:00:00Z,38.90637149,-105.2989972,1.0
bearlake_fromgrid,2020-04-28T12:00:00Z,38.90637149,-105.2989972,1.2
bearlake_fromgrid,2020-04-29T12:00:00Z,38.90637149,-105.2989972,0.6
bearlake_fromgrid,2020-04-30T12:00:00Z,38.90637149,-105.2989972,1.0
bearlake_fromgrid,2020-05-01T12:00:00Z,38.90637149,-105.2989972,1.0
bearlake_fromgrid,2020-05-02T12:00:00Z,38.90637149,-105.2989972,1.3
bearlake_fromgrid,2020-05-03T12:00:00Z,38.90637149,-105.2989972,1.1
bearlake_fromgrid,2020-05-04T12:00:00Z,38.90637149,-105.2989972,1.2
bearlake_fromgrid,2020-05-05T12:00:00Z,38.90637149,-105.2989972,1.5
bearlake_fromgrid,2020-05-06T12:00:00Z,38.90637149,-105.2989972,1.7
bearlake_fromgrid,2020-05-07T12:00:00Z,38.90637149,-105.2989972,1.8
bearlake_fromgrid,2020-05-08T12:00:00Z,38.90637149,-105.2989972,1.4
bearlake_fromgrid,2020-05-09T12:00:00Z,38.90637149,-105.2989972,1.4
